time,scenario,substance,value
2020,high_env_pol,car,225095394.48000002
2020,high_env_pol,cec,0.0
2020,low_env_pol,car,225095394.48000002
2020,low_env_pol,cec,0.0
2035,high_env_pol,car,263318725.5294
2035,high_env_pol,cec,19.7393153544
2035,low_env_pol,car,223203676.39020002
2035,low_env_pol,cec,0.0
2045,high_env_pol,car,284753974.4112
2045,high_env_pol,cec,13.240772399999999
2045,low_env_pol,car,219236831.1078
2045,low_env_pol,cec,0.0
